Title	Author	Author_Sex	Pages	Publication_Year	Original_Language	Genre	Type	Started	Finished	Format	Rating
Six of Crows	Leigh Bardugo	F	462	2015	English	Fantasy	Fiction	2017-09-11	2017-09-27	Audio	5
The Haunting of Hill House	Shirley Jackson	F	246	1959	English	Horror	Fiction	2017-09-29	2017-10-05	Digital	4
Crooked Kingdom	Leigh Bardugo	F	536	2016	English	Fantasy	Fiction	2017-09-28	2017-10-18	Audio	5
The October Country	Ray Bradbury	M	336	1955	English	Short Stories	Fiction	2017-10-10	2017-10-21	Physical	4
The Fifth Season	N.K. Jemisin	F	468	2015	English	Fantasy	Fiction	2017-10-18	2017-11-07	Audio	4
Monstress, Vol. 2: The Blood	Marjorie M. Liu	F	152	2017	English	Graphic Novels	Fiction	2017-11-07	2017-11-07	Physical	4
The Odyssey	Homer	M	541	-720	Ancient Greek	Classics	Fiction	2017-10-23	2017-11-12	Physical	4
There Exists an X, X is a Sandwich	Joel K. Jensen	M	102	2012	English	Philosophy	Nonfiction	2017-11-13	2017-11-13	Physical	5
The Obelisk Gate	N.K. Jemisin	F	448	2016	English	Fantasy	Fiction	2017-11-07	2017-11-28	Audio	5
The Stone Sky	N.K. Jemisin	F	413	2017	English	Fantasy	Fiction	2017-11-28	2017-12-14	Audio	4
A Christmas Carol	Charles Dickens	M	104	1843	English	Classics	Fiction	2017-12-14	2017-12-19	Audio	5
Oathbringer	Brandon Sanderson	M	1242	2017	English	Fantasy	Fiction	2017-11-14	2017-12-27	Digital	5
The Hidden Life of Trees: What They Feel, How They Communicate - Discoveries from a Secret World	Peter Wohlleben	M	271	2015	German	Nonfiction	Nonfiction	2017-12-19	2017-12-28	Audio	4
