Title	Author	Author_Sex	Pages	Publication_Year	Original_Language	Genre	Type	Started	Finished	Format	Rating
The Fellowship of the Ring	J.R.R. Tolkien	M	398	1954	English	Fantasy	Fiction	2018-08-27	2018-09-06	Digital	4
The Two Towers	J.R.R. Tolkien	M	352	1954	English	Fantasy	Fiction	2018-09-07	2018-09-28	Digital	4
A Tale for the Time Being	Ruth Ozeki	F	422	2013	English	Fiction	Fiction	2018-09-04	2018-10-02	Audio	3
House of Leaves	Mark Z. Danielewski	M	709	2000	English	Horror	Fiction	2018-09-28	2018-10-12	Physical	3
Space Opera	Catherynne M. Valente	F	352	2018	English	Science Fiction	Fiction	2018-10-03	2018-10-18	Audio	4
Something Wicked This Way Comes	Ray Bradbury	M	293	1962	English	Horror	Fiction	2018-10-14	2018-10-23	Digital	5
The Shining Girls	Lauren Beukes	F	368	2013	English	Fiction	Fiction	2018-10-21	2018-11-05	Audio	3
Record of a Spaceborn Few	Becky Chambers	F	359	2018	English	Science Fiction	Fiction	2018-11-05	2018-11-13	Audio	5
The Witch Elm	Tana French	F	464	2018	English	Mystery	Fiction	2018-10-23	2018-11-21	Digital	4
Mistborn: The Final Empire	Brandon Sanderson	M	676	2006	English	Fantasy	Fiction	2018-11-21	2018-11-26	Digital	5
Great Expectations	Charles Dickens	M	512	1860	English	Classics	Fiction	2018-11-12	2018-12-11	Audio	5
The Well of Ascension	Brandon Sanderson	M	815	2007	English	Fantasy	Fiction	2018-11-27	2018-12-13	Digital	5
Storm in a Teacup: The Physics of Everyday Life	Helen Czerski	F	273	2017	English	Science	Nonfiction	2018-12-11	2018-12-19	Audio	5
The Hero of Ages	Brandon Sanderson	M	785	2008	English	Fantasy	Fiction	2018-12-14	2018-12-22	Digital	5
